grlivarea,bsmtfinsf1,overallqual,neighborhood_NridgHt,exterqual,garagearea,bsmtexposure,neighborhood_StoneBr,overallcond,masvnrarea,kitchenqual,bldgtype_TwnhsE,bsmtunfsf,bsmtfintype1_None,bsmtqual,bldgtype_Twnhs,exterior1st_BrkFace,functional_Typ,agesold,yearbuilt,neighborhood_GrnHill,garagefinish_RFn,mssubclass_20,roofmatl_WdShngl,masvnr,neighborhood_NoRidge,bedroomabvgr,masvnrtype_Stone,fireplaces,lotarea
1200,833.0,7,0,4,555.0,1,0,5,0.0,4,0,343.0,0,4,0,0,1,6,2003,0,1,1,0,0,0,2,0,0,10083
928,377.0,5,0,3,252.0,1,0,7,0.0,3,0,551.0,0,4,0,0,1,51,1956,0,0,1,0,0,0,2,0,0,13300
1336,553.0,5,0,3,502.0,2,0,5,128.0,3,0,588.0,0,4,0,0,1,40,1969,0,1,1,0,1,0,3,0,1,9600
1200,280.0,7,0,4,480.0,3,0,5,120.0,4,1,320.0,0,4,0,0,1,6,2004,0,1,0,0,1,0,2,0,0,3215
1427,828.0,6,0,3,516.0,3,0,6,0.0,3,0,599.0,0,3,0,0,1,39,1969,0,1,0,0,0,0,4,0,0,11104
1992,762.0,7,0,4,608.0,2,0,5,254.0,4,0,98.0,0,4,0,0,0,11,1996,0,1,0,0,1,0,3,0,2,15295
1540,36.0,7,0,4,495.0,1,0,5,0.0,4,0,122.0,0,4,0,0,1,15,1994,0,1,0,0,0,0,3,0,0,9109
1535,0.0,5,0,3,400.0,0,0,5,0.0,3,0,0.0,1,0,0,0,1,30,1979,0,0,0,0,0,0,4,0,0,7018
1152,1014.0,5,0,3,484.0,3,0,7,86.0,3,0,138.0,0,3,0,0,1,46,1964,0,1,0,0,1,0,3,0,1,14112
1151,60.0,8,0,4,484.0,1,0,5,30.0,4,1,1081.0,0,4,0,0,1,1,2006,0,0,0,0,1,0,2,1,0,3523
1138,588.0,6,0,3,480.0,3,0,5,54.0,3,0,550.0,0,3,0,0,1,49,1960,0,1,0,0,1,0,3,0,1,15312
1074,438.0,5,0,3,396.0,1,0,5,0.0,4,0,250.0,0,3,0,0,0,51,1956,0,0,1,0,0,0,2,0,1,7450
1561,1153.0,9,1,5,556.0,1,0,5,246.0,5,1,408.0,0,5,0,0,1,2,2005,0,0,0,0,1,0,2,0,1,7313
2726,527.0,8,0,4,725.0,1,0,5,397.0,4,0,815.0,0,4,0,0,1,11,1995,0,1,0,0,1,1,4,0,1,10019
1884,1337.0,9,0,5,670.0,4,1,5,296.0,5,0,547.0,0,5,0,0,1,4,2004,0,0,1,0,1,0,2,0,1,15401
605,348.0,4,0,3,0.0,2,0,7,0.0,3,0,180.0,0,3,0,0,1,87,1920,0,0,0,0,0,0,2,0,0,9098
1671,1044.0,8,0,5,550.0,2,0,9,0.0,5,0,0.0,0,4,0,0,1,32,1976,0,1,1,0,0,0,3,0,1,16280
797,0.0,3,0,3,0.0,1,0,3,0.0,3,0,245.0,0,2,0,0,1,109,1900,0,0,0,0,0,0,2,0,0,9392
1961,690.0,6,0,3,560.0,1,0,5,0.0,4,0,114.0,0,5,0,0,1,8,2001,0,0,0,0,0,0,3,0,1,12209
1193,962.0,5,0,3,501.0,1,0,6,144.0,3,0,191.0,0,4,0,0,1,34,1972,0,0,0,0,1,0,2,0,0,13110
1382,641.0,7,0,4,490.0,1,0,5,0.0,4,0,32.0,0,4,1,0,1,6,2000,0,0,0,0,0,0,3,0,0,2651
2526,168.0,6,0,3,216.0,1,0,7,0.0,4,0,0.0,0,3,0,0,1,91,1916,0,0,0,0,0,0,5,0,1,8520
1390,1110.0,6,0,3,550.0,4,0,6,902.0,5,0,595.0,0,4,0,0,0,49,1957,0,0,1,0,1,0,1,1,2,39384
1626,0.0,7,1,4,474.0,1,0,5,106.0,4,0,764.0,0,4,1,0,1,7,2003,0,1,0,0,1,0,2,1,0,2628
1558,421.0,5,0,3,400.0,1,0,6,0.0,3,0,269.0,0,3,0,0,1,70,1939,0,0,0,0,0,0,3,0,1,6406
1422,0.0,5,0,3,286.0,1,0,5,0.0,3,0,978.0,0,3,0,0,0,47,1960,0,1,1,0,0,0,3,0,1,12342
1573,0.0,5,0,3,360.0,1,0,7,0.0,3,0,1078.0,0,3,0,0,1,78,1930,0,0,0,0,0,0,3,0,1,6240
1116,0.0,6,0,3,440.0,1,0,6,261.0,3,0,1116.0,0,3,0,0,1,48,1962,0,0,1,0,1,0,3,0,0,10000
660,0.0,2,0,3,0.0,0,0,2,0.0,2,0,0.0,1,0,0,0,0,62,1947,0,0,1,0,0,0,2,0,0,9000
1707,832.0,6,0,3,479.0,1,0,5,144.0,3,0,308.0,0,3,0,0,1,31,1978,0,0,1,0,1,0,3,0,1,11088
1466,176.0,5,0,3,528.0,1,0,4,132.0,2,0,1290.0,0,3,0,0,1,47,1959,0,0,1,0,1,0,3,0,2,17755
1638,1027.0,9,0,4,495.0,3,0,5,260.0,5,1,587.0,0,4,0,0,1,8,2000,0,0,0,0,1,0,2,0,1,4765
1721,988.0,5,0,3,626.0,2,0,3,275.0,3,0,0.0,0,3,0,0,0,48,1960,0,0,0,0,1,0,3,1,2,10532
1764,821.0,6,0,3,470.0,1,0,5,0.0,4,0,107.0,0,4,0,0,1,12,1997,0,1,0,0,0,0,3,0,0,15426
996,290.0,5,0,3,0.0,1,0,6,0.0,3,0,706.0,0,3,0,0,1,68,1940,0,0,0,0,0,0,3,0,1,13907
1202,435.0,5,0,3,304.0,1,0,5,0.0,3,0,565.0,0,3,0,1,1,53,1956,0,1,1,0,0,0,3,0,0,8750
988,827.0,5,0,3,572.0,1,0,5,57.0,3,0,161.0,0,3,0,0,1,46,1961,0,0,1,0,1,0,3,0,0,9945
1028,0.0,5,0,3,360.0,1,0,6,0.0,3,0,1008.0,0,3,0,0,1,83,1927,0,0,0,0,0,0,2,0,1,8960
1284,312.0,5,0,3,240.0,1,0,7,0.0,3,0,408.0,0,3,0,0,1,62,1947,0,0,0,0,0,0,2,0,0,3500
2944,410.0,9,0,4,864.0,1,0,3,1050.0,4,0,584.0,0,4,0,0,1,31,1977,0,1,0,0,1,0,3,0,1,24572
1414,0.0,8,0,4,403.0,3,0,5,0.0,4,0,707.0,0,5,0,0,1,2,2004,0,0,0,0,0,0,3,0,1,9056
1609,0.0,7,0,3,579.0,1,0,7,0.0,4,0,637.0,0,3,0,0,1,74,1932,0,0,0,0,0,0,3,0,2,12320
1525,700.0,6,0,3,400.0,1,0,5,0.0,3,0,113.0,0,3,0,0,1,9,1997,0,0,0,0,0,0,3,0,1,8238
1656,257.0,5,0,2,288.0,2,0,5,0.0,3,0,367.0,0,4,0,0,0,41,1967,0,0,0,0,0,0,3,0,1,6000
1055,378.0,7,0,3,440.0,1,0,6,0.0,3,0,677.0,0,4,1,0,1,31,1977,0,0,0,0,0,0,2,0,0,2529
1352,0.0,5,0,3,720.0,1,0,7,0.0,4,0,676.0,0,3,0,0,1,70,1939,0,0,0,0,0,0,4,0,0,10800
1456,389.0,6,0,3,440.0,1,0,5,0.0,3,0,466.0,0,4,1,0,1,32,1977,0,0,0,0,0,0,3,0,1,2349
1719,1619.0,8,0,4,473.0,4,0,5,0.0,4,1,100.0,0,4,0,1,1,15,1993,0,0,0,0,0,0,1,0,2,10846
864,468.0,5,0,3,0.0,1,0,6,0.0,3,0,396.0,0,3,0,0,1,83,1925,0,0,0,0,0,0,2,0,0,5604
987,458.0,6,0,3,264.0,1,0,5,359.0,3,0,25.0,0,3,1,0,1,35,1973,0,0,0,0,1,0,2,0,0,1680
1020,0.0,5,0,3,0.0,1,0,8,0.0,3,0,780.0,0,3,0,0,1,135,1875,0,0,0,0,0,0,2,0,0,6342
1554,24.0,8,1,4,627.0,2,0,5,108.0,4,0,1530.0,0,4,1,0,1,1,2006,0,1,0,0,1,0,2,1,1,4590
3390,0.0,10,0,5,758.0,4,1,5,662.0,5,0,1528.0,0,5,0,0,1,0,2006,0,0,0,0,1,0,5,0,1,18062
1560,0.0,6,0,4,0.0,1,0,8,0.0,4,0,780.0,0,3,0,0,1,98,1912,0,0,0,0,0,0,3,0,0,12900
864,120.0,4,0,3,400.0,1,0,5,0.0,3,0,744.0,0,3,0,0,1,59,1951,0,0,1,0,0,0,2,0,0,19138
1889,732.0,6,0,3,431.0,1,0,5,0.0,3,0,250.0,0,4,0,0,1,6,2000,0,0,0,0,0,0,3,0,1,8658
1040,659.0,5,0,3,260.0,1,0,8,0.0,3,0,381.0,0,3,0,0,1,48,1962,0,0,1,0,0,0,3,0,0,6897
1172,954.0,5,0,3,366.0,3,0,7,0.0,3,0,218.0,0,3,0,0,1,56,1954,0,0,1,0,0,0,3,0,0,9525
1418,1032.0,8,0,4,852.0,1,0,5,0.0,4,0,610.0,0,5,0,0,1,0,2010,0,1,1,0,0,0,1,0,1,12853
1367,425.0,6,0,3,560.0,1,0,6,0.0,3,0,459.0,0,3,0,0,1,76,1931,0,0,0,0,0,0,3,0,1,6240
1922,0.0,7,0,4,672.0,0,0,5,500.0,4,0,0.0,1,0,0,0,1,6,2003,0,1,0,0,1,0,4,0,1,7301
1422,588.0,6,0,3,576.0,1,0,6,210.0,4,0,606.0,0,4,0,0,1,27,1981,0,0,1,0,1,0,3,0,1,12090
1842,841.0,7,0,4,486.0,1,0,5,144.0,4,0,144.0,0,4,0,0,1,7,2000,0,0,0,0,1,0,3,0,1,8826
1962,0.0,4,0,3,572.0,1,0,5,0.0,3,0,888.0,0,3,0,0,1,95,1915,0,0,0,0,0,0,4,0,1,8094
1120,644.0,5,0,4,656.0,1,0,7,165.0,3,0,220.0,0,3,0,0,1,43,1966,0,1,1,0,1,0,3,0,1,10710
2868,240.0,9,0,4,716.0,3,1,5,208.0,5,0,1752.0,0,5,0,0,1,1,2005,0,0,0,0,1,0,4,1,1,16056
1478,189.0,6,0,3,442.0,1,0,3,0.0,3,0,628.0,0,3,0,1,1,52,1957,0,1,1,0,0,0,3,0,2,8400
1995,685.0,7,0,4,610.0,3,0,5,0.0,4,0,245.0,0,4,0,0,1,11,1995,0,1,0,0,0,0,4,0,1,11250
912,111.0,5,0,3,297.0,1,0,7,0.0,3,0,522.0,0,3,0,0,1,49,1958,0,0,1,0,0,0,2,0,0,7535
1326,918.0,6,0,3,388.0,3,0,5,0.0,4,0,408.0,0,4,0,0,1,2,2005,0,0,1,0,0,0,3,0,0,12216
1204,0.0,8,0,3,461.0,1,1,5,0.0,3,1,1191.0,0,4,0,0,1,19,1987,0,1,0,0,0,0,2,0,0,3701
1611,674.0,6,0,3,442.0,4,0,6,360.0,3,0,0.0,0,3,0,0,1,44,1964,0,1,0,0,1,0,4,0,0,9760
960,789.0,4,0,3,576.0,3,0,5,160.0,3,0,171.0,0,3,0,0,1,36,1970,0,0,0,0,1,0,3,0,0,9873
1236,360.0,5,0,3,447.0,1,0,6,64.0,4,0,710.0,0,3,0,0,0,49,1957,0,0,1,0,1,0,2,0,1,10011
1416,0.0,5,0,3,576.0,1,0,7,0.0,4,0,816.0,0,3,0,0,1,89,1918,0,0,0,0,0,0,3,0,0,25339
1873,608.0,7,0,4,619.0,1,0,5,360.0,4,0,0.0,0,4,0,0,1,19,1988,0,1,0,0,1,0,3,0,1,8883
2128,0.0,5,0,3,0.0,1,0,1,0.0,3,0,1040.0,0,3,0,0,0,87,1922,0,0,0,0,0,0,4,0,0,3000
1626,573.0,7,1,4,474.0,1,0,5,106.0,4,0,191.0,0,4,1,0,1,5,2003,0,1,0,0,1,0,2,1,0,2448
816,708.0,5,0,3,308.0,1,0,7,0.0,3,0,108.0,0,3,0,0,1,49,1957,0,0,1,0,0,0,2,0,0,7100
1112,129.0,5,0,3,336.0,1,0,3,0.0,3,1,175.0,0,4,0,0,1,34,1976,0,0,0,0,0,0,3,0,0,2592
1111,0.0,7,0,3,288.0,1,0,7,0.0,3,0,572.0,0,3,0,0,1,82,1926,0,0,0,0,0,0,2,0,1,5700
1441,311.0,6,0,3,440.0,1,0,6,0.0,3,0,544.0,0,3,1,0,1,31,1978,0,0,0,0,0,0,3,0,1,2289
924,348.0,4,0,3,280.0,1,0,4,0.0,2,0,324.0,0,4,0,0,1,69,1941,0,0,0,0,0,0,2,0,0,12180
1126,104.0,5,0,3,506.0,3,0,5,0.0,3,0,0.0,0,4,0,0,1,24,1984,0,0,0,0,0,0,2,0,0,7400
992,0.0,5,0,3,319.0,1,0,6,0.0,3,0,381.0,0,2,0,0,1,56,1954,0,0,1,0,0,0,3,0,0,8842
1376,0.0,6,0,3,576.0,1,0,7,0.0,4,0,768.0,0,3,0,0,1,87,1920,0,0,0,0,0,0,3,0,0,8850
1218,0.0,7,0,4,676.0,1,0,5,0.0,4,0,1218.0,0,4,0,0,1,1,2009,0,1,1,0,0,0,2,0,0,9215
1644,386.0,5,0,3,312.0,1,0,7,224.0,4,0,342.0,0,3,0,0,1,65,1942,0,0,0,0,1,0,3,1,2,9480
1601,704.0,7,0,3,478.0,1,0,5,206.0,3,0,567.0,0,4,0,0,1,31,1978,0,1,1,0,1,0,3,0,1,11880
2495,0.0,7,0,3,342.0,2,0,7,0.0,3,0,1313.0,0,3,0,0,1,118,1890,0,0,0,0,0,0,5,0,1,10800
1509,457.0,6,0,4,393.0,1,0,5,0.0,4,0,326.0,0,4,0,0,1,4,2002,0,0,0,0,0,0,3,0,1,7861
1092,170.0,5,0,3,288.0,1,0,5,116.0,3,0,252.0,0,3,0,0,1,47,1962,0,0,1,0,1,0,3,0,1,11616
2418,1173.0,7,0,4,983.0,4,0,5,651.0,4,0,138.0,0,4,0,0,1,15,1993,0,1,0,0,1,1,3,0,1,10542
987,156.0,6,0,3,264.0,1,0,5,504.0,3,0,327.0,0,3,1,0,1,39,1971,0,0,0,0,1,0,2,0,0,1680
1121,0.0,4,0,3,440.0,1,0,5,0.0,3,0,1121.0,0,4,0,0,1,7,2003,0,1,1,0,0,0,2,0,0,8546
1236,600.0,6,0,3,923.0,1,0,7,0.0,3,0,312.0,0,3,0,0,1,53,1957,0,0,1,0,0,0,2,0,0,7407
1074,788.0,5,0,3,495.0,1,0,6,0.0,3,0,268.0,0,4,0,0,1,31,1975,0,1,1,0,0,0,3,0,0,10140
733,0.0,1,0,2,487.0,0,0,5,0.0,2,0,0.0,1,0,0,0,0,56,1952,0,0,1,0,0,0,2,0,0,14584
1768,550.0,7,0,4,543.0,1,0,5,252.0,4,0,334.0,0,4,0,0,1,5,2003,0,1,0,0,1,0,3,0,0,8158
1266,0.0,7,0,4,453.0,1,0,5,0.0,4,0,1257.0,0,4,0,0,1,1,2005,0,0,1,0,0,0,3,0,1,7500
2872,700.0,8,0,4,541.0,1,0,5,337.0,4,0,983.0,0,4,0,0,1,15,1992,0,0,0,0,1,1,4,0,1,10678
1464,929.0,8,0,4,754.0,4,0,5,84.0,4,0,556.0,0,4,0,0,1,0,2007,0,0,1,0,1,0,3,1,0,15256
2157,445.0,7,0,3,487.0,1,0,6,309.0,4,0,479.0,0,3,0,0,1,40,1966,0,0,0,0,1,0,4,0,2,14200
