id,mssubclass,mszoning,lotfrontage,lotarea,lotshape,landcontour,lotconfig,landslope,neighborhood,condition1,condition2,bldgtype,housestyle,overallqual,overallcond,yearbuilt,roofstyle,roofmatl,exterior1st,exterior2nd,masvnrtype,masvnrarea,exterqual,foundation,bsmtqual,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtunfsf,heatingqc,electrical,grlivarea,bsmtfullbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,functional,fireplaces,fireplacequ,garagetype,garagefinish,garagearea,garagecond,paveddrive,wooddecksf,mosold,yrsold,saleprice,porch,pool,garage,fireplace,bsmt,masvnr,agesold,remodelled,bighouse,2ndflr
2517,120,RL,30.0,9549,1,Lvl,CulDSac,flat,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,PConc,4,3,LwQ,437.0,0.0,5,SBrkr,1494,1.0,1,1,2,1,5,Typ,1,4,Attchd,Fin,481.0,3,Y,0,4,2006,270000,1,0,1,1,1,0,11,0,0,0
1933,20,RL,60.0,10950,0,Lvl,Inside,flat,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1,ALQ,441.0,507.0,3,SBrkr,948,0.0,1,0,2,1,3,Typ,0,0,Detchd,Unf,410.0,3,N,0,4,2007,125000,1,0,1,0,1,0,55,1,0,0
820,20,RL,79.0,10637,0,Lvl,Inside,flat,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4,PConc,5,4,GLQ,1288.0,417.0,5,SBrkr,1718,1.0,2,0,3,1,4,Typ,1,4,Attchd,RFn,826.0,3,Y,208,9,2009,297000,1,0,1,1,1,1,2,0,0,0
675,20,RL,80.0,9000,1,HLS,Inside,sloped,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3,CBlock,4,4,Unf,0.0,160.0,2,SBrkr,1142,0.0,1,0,2,1,3,Typ,1,4,Basment,RFn,384.0,3,Y,0,4,2009,113500,1,0,1,1,1,1,51,1,0,0
2910,160,RM,41.0,2665,0,Lvl,Inside,flat,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,PConc,3,1,ALQ,548.0,36.0,5,SBrkr,1475,0.0,2,0,4,1,3,Typ,1,3,Attchd,RFn,336.0,3,Y,104,7,2006,127000,1,0,1,1,1,0,29,1,0,1
21,20,RL,105.0,11751,1,Lvl,Inside,flat,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,CBlock,4,1,BLQ,705.0,1139.0,5,SBrkr,1844,0.0,2,0,3,1,3,Typ,1,3,Attchd,RFn,546.0,3,Y,0,1,2010,190000,1,0,1,1,1,1,33,1,0,0
1873,20,RL,80.0,9600,0,Lvl,Inside,flat,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3,CBlock,3,1,ALQ,916.0,326.0,2,SBrkr,1242,0.0,1,1,3,1,3,Typ,1,3,Attchd,Unf,528.0,3,Y,0,9,2007,175500,0,0,1,1,1,1,34,1,0,0
2125,20,RL,60.0,8428,2,Lvl,Inside,flat,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,4,1,GLQ,420.0,570.0,5,SBrkr,990,1.0,1,0,3,1,3,Typ,0,0,Detchd,Unf,384.0,3,Y,256,7,2007,146000,0,0,1,0,1,0,13,1,0,0
1489,20,RL,75.0,9937,0,Lvl,Inside,flat,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,CBlock,3,1,BLQ,830.0,136.0,4,SBrkr,1256,1.0,1,1,3,1,3,Typ,0,0,Attchd,Fin,276.0,3,Y,736,6,2008,147500,1,0,1,0,1,0,43,1,0,0
2383,20,RL,107.0,13891,0,Lvl,Inside,flat,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,PConc,5,4,GLQ,1386.0,690.0,5,SBrkr,2076,1.0,2,1,2,1,5,Typ,1,4,Attchd,Fin,850.0,3,Y,216,9,2006,465000,1,0,1,1,1,0,0,1,0,0
983,85,RL,0.0,9101,1,Lvl,Corner,flat,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,3,PConc,4,3,GLQ,1097.0,0.0,5,SBrkr,1110,1.0,1,0,1,1,4,Typ,1,3,Attchd,Fin,602.0,3,Y,303,7,2009,165500,1,0,1,1,1,1,31,1,0,0
1325,50,RM,81.0,12150,0,Lvl,Inside,flat,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,3,BrkTil,3,1,Unf,0.0,1050.0,5,FuseF,1795,0.0,2,0,4,1,3,Typ,0,0,Attchd,Unf,352.0,3,Y,0,11,2008,131500,0,0,1,0,1,1,54,1,0,1
1378,20,RL,70.0,11200,0,Lvl,Inside,flat,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,CBlock,3,1,Rec,906.0,134.0,5,SBrkr,1040,1.0,1,0,3,1,3,Typ,0,0,Detchd,Unf,384.0,3,Y,0,2,2008,129500,0,0,1,0,1,0,43,1,0,0
1537,70,RL,100.0,9670,1,HLS,Inside,sloped,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,Gable,CompShg,BrkFace,Stucco,Stone,40.0,3,PConc,3,1,LwQ,210.0,398.0,3,SBrkr,1873,0.0,1,1,4,1,3,Typ,2,4,Detchd,Fin,786.0,3,Y,0,6,2008,257076,1,0,1,1,1,1,73,0,0,1
905,50,RL,60.0,10998,0,Lvl,Inside,flat,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1,LwQ,408.0,156.0,5,SBrkr,1604,0.0,2,0,3,1,3,Min2,0,0,Detchd,Unf,660.0,3,Y,0,7,2009,117000,1,0,1,0,1,0,68,0,0,1
1532,70,RL,60.0,7200,0,HLS,Inside,sloped,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,Gable,CompShg,Stucco,Wd Shng,None,0.0,3,BrkTil,4,1,Unf,0.0,776.0,3,SBrkr,1502,0.0,1,1,3,1,3,Typ,1,4,Attchd,RFn,270.0,3,P,0,2,2008,149000,1,0,1,1,1,0,77,0,0,1
132,20,RL,80.0,9920,0,Lvl,Inside,flat,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,3,CBlock,3,1,Rec,354.0,412.0,3,SBrkr,1063,1.0,1,0,3,1,3,Typ,0,0,Attchd,RFn,280.0,3,Y,0,2,2010,128000,1,0,1,0,1,1,56,1,0,0
1078,160,RL,36.0,2448,0,Lvl,Inside,flat,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,4,PConc,4,1,Unf,0.0,764.0,5,SBrkr,1626,0.0,2,1,2,1,4,Typ,0,0,BuiltIn,RFn,474.0,3,Y,0,10,2008,155000,1,0,1,0,1,1,5,0,0,1
2511,160,FV,0.0,2998,0,Lvl,Inside,flat,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,4,PConc,4,1,GLQ,353.0,403.0,5,SBrkr,1524,0.0,2,1,2,1,4,Typ,0,0,Detchd,Unf,440.0,3,Y,0,6,2006,166000,1,0,1,0,1,1,6,1,0,1
912,50,RL,65.0,7804,0,Lvl,Inside,flat,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,Gable,CompShg,WdShing,Plywood,None,0.0,3,BrkTil,3,1,BLQ,622.0,500.0,3,SBrkr,1981,1.0,2,0,4,1,4,Min2,2,3,Detchd,Unf,576.0,3,Y,431,12,2009,135000,1,0,1,1,1,0,81,0,0,1
2351,60,RL,80.0,16692,1,Lvl,Inside,flat,NWAmes,RRAn,Norm,1Fam,2Story,7,5,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,3,CBlock,4,1,BLQ,790.0,133.0,3,SBrkr,2784,1.0,3,1,5,1,4,Typ,2,3,Attchd,RFn,564.0,3,Y,0,7,2006,250000,1,1,1,1,1,1,28,1,0,1
330,160,RM,21.0,1476,0,Lvl,Inside,flat,MeadowV,Norm,Norm,Twnhs,2Story,4,7,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,CBlock,3,1,GLQ,176.0,370.0,5,SBrkr,1092,0.0,1,1,3,1,3,Typ,0,0,None,None,0.0,0,Y,200,3,2010,76000,1,0,0,0,1,0,40,1,0,1
2586,20,RL,75.0,10170,0,Lvl,Corner,flat,NAmes,Norm,Norm,1Fam,1Story,6,6,1951,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,522.0,3,CBlock,3,1,Unf,0.0,216.0,3,SBrkr,1575,0.0,1,1,2,1,4,Typ,1,4,Attchd,Unf,400.0,3,Y,0,6,2006,155000,0,0,1,1,1,1,55,1,0,0
224,60,RL,80.0,9364,0,Lvl,Corner,flat,Sawyer,Norm,Norm,1Fam,2Story,6,7,1969,Gable,CompShg,HdBoard,HdBoard,Stone,143.0,3,CBlock,3,1,ALQ,371.0,292.0,3,SBrkr,1352,0.0,1,1,4,1,3,Typ,0,0,Attchd,Fin,299.0,3,Y,379,3,2010,158000,1,0,1,0,1,1,41,1,0,1
98,160,FV,24.0,2544,0,Lvl,Inside,flat,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,PConc,4,1,GLQ,368.0,190.0,5,SBrkr,1200,1.0,2,1,2,1,4,Typ,0,0,Detchd,RFn,480.0,3,Y,0,2,2010,149500,1,0,1,0,1,0,6,0,0,1
2565,20,RL,82.0,9888,0,Lvl,Inside,flat,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,1,BLQ,486.0,450.0,3,FuseA,936,0.0,1,0,2,1,3,Typ,0,0,Attchd,Unf,240.0,3,Y,0,3,2006,121000,1,0,1,0,1,0,52,0,0,0
1934,20,RL,68.0,7942,0,Lvl,Inside,flat,NAmes,Norm,Norm,1Fam,1Story,6,7,1953,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1,Rec,85.0,0.0,3,FuseF,1040,0.0,1,0,3,1,3,Typ,0,0,Attchd,Fin,293.0,3,Y,0,6,2007,136000,0,0,1,0,1,0,54,1,0,0
997,60,RL,0.0,15038,2,Lvl,Corner,flat,Gilbert,Norm,Norm,1Fam,2Story,6,5,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,PConc,4,1,Rec,138.0,778.0,4,SBrkr,1636,0.0,2,1,3,1,3,Typ,1,3,Attchd,Fin,386.0,3,Y,168,11,2008,173000,1,0,1,1,1,0,12,1,0,1
64,60,RL,92.0,11764,1,Lvl,CulDSac,flat,NoRidge,Norm,Norm,1Fam,2Story,8,7,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,4,PConc,4,1,GLQ,524.0,628.0,5,SBrkr,2270,0.0,2,1,4,1,4,Typ,1,4,Attchd,Fin,671.0,3,Y,132,4,2010,290000,1,0,1,1,1,1,11,0,0,1
1799,60,FV,75.0,9000,0,Lvl,Inside,flat,Somerst,Norm,Norm,1Fam,2Story,8,5,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,PConc,4,3,GLQ,64.0,1120.0,5,SBrkr,2610,0.0,2,1,4,1,5,Typ,1,4,BuiltIn,Fin,550.0,3,Y,208,8,2007,303477,1,0,1,1,1,0,0,1,0,1
230,20,RL,0.0,20062,1,Low,Inside,sloped,ClearCr,Norm,Norm,1Fam,1Story,7,7,1977,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,CBlock,4,4,ALQ,1092.0,328.0,4,SBrkr,1483,1.0,1,1,1,1,3,Typ,2,3,Attchd,RFn,690.0,3,Y,496,4,2010,270000,0,0,1,1,1,0,33,0,0,0
1295,50,RM,81.0,7308,0,Lvl,Corner,flat,OldTown,Artery,Norm,1Fam,1.5Fin,5,5,1920,Gable,CompShg,WdShing,Wd Shng,None,0.0,2,BrkTil,3,1,Rec,360.0,576.0,4,FuseA,1740,0.0,1,0,2,1,5,Typ,1,4,Detchd,Unf,225.0,2,N,0,6,2008,122250,1,0,1,1,1,0,88,0,0,1
638,20,RL,70.0,8750,0,Lvl,Inside,flat,NAmes,Norm,Norm,1Fam,1Story,5,5,1955,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,CBlock,3,1,Rec,172.0,727.0,4,FuseA,1382,0.0,1,0,3,1,4,Typ,0,0,Attchd,Unf,350.0,3,Y,280,7,2009,153000,0,0,1,0,1,0,54,1,0,0
2278,20,RL,70.0,8402,0,Lvl,Inside,flat,Mitchel,Feedr,Norm,1Fam,1Story,5,5,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,4,1,ALQ,206.0,914.0,5,SBrkr,1120,0.0,1,0,3,1,3,Typ,0,0,None,None,0.0,0,Y,0,12,2007,147000,1,0,0,0,1,0,0,1,0,0
2202,70,RL,63.0,4000,0,Lvl,Inside,flat,Crawfor,Norm,Norm,1Fam,2Story,7,8,1930,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,4,1,GLQ,246.0,285.0,3,SBrkr,1098,1.0,1,0,2,1,3,Typ,1,4,Detchd,Unf,216.0,3,Y,0,6,2007,148500,0,0,1,1,1,0,77,0,0,1
2833,160,RM,32.0,3363,0,Lvl,Inside,flat,Edwards,Norm,Norm,TwnhsE,2Story,7,5,2004,Gable,CompShg,VinylSd,VinylSd,Stone,117.0,4,PConc,4,1,Unf,0.0,976.0,5,SBrkr,1708,0.0,2,0,3,1,4,Maj1,0,0,Detchd,Unf,380.0,3,Y,0,4,2006,130000,1,0,1,0,1,1,2,1,0,1
1707,20,RL,94.0,13615,1,HLS,Corner,sloped,NridgHt,Norm,Norm,1Fam,1Story,9,5,2006,Hip,CompShg,MetalSd,MetalSd,Stone,510.0,5,PConc,5,4,Unf,0.0,1802.0,5,SBrkr,1802,0.0,2,1,3,1,5,Typ,1,4,Attchd,Fin,843.0,3,Y,158,6,2007,372000,1,0,1,1,1,1,1,1,0,0
